t,band
1/3/2020,9409890-11759569-12447609
1/8/2020,151133880-145157912-146709069
1/13/2020,171388583-159945914-157899238
1/18/2020,126366654-122950723-120793360
1/23/2020,246256380-232108843-226097174
1/28/2020,220022640-211271145-210588307
2/2/2020,77009157-72558929-71865288
2/7/2020,115353924-110328277-108192529
2/12/2020,7032236-8478535-8417953
2/17/2020,44508354-43307589-41682896
2/22/2020,4422474-5921945-5458191
2/27/2020,3407620-5273259-4965553
3/3/2020,44141376-42088010-41209721
3/8/2020,14900867-15876247-15329790
3/13/2020,100881499-97801643-98641862
3/18/2020,17428403-17224904-15676249
3/23/2020,110581774-106981170-108452278
3/28/2020,108708723-108021682-109861781
4/2/2020,108075475-103254048-104467085
4/7/2020,4452909-5460670-4976649
4/12/2020,4375068-5182504-4628116
4/17/2020,3468489-4743399-4299936
4/22/2020,159086203-153340181-152406791
4/27/2020,51703814-49149708-46916240
5/2/2020,165850050-160360359-159509351
5/7/2020,2885663-3406377-2226315
5/12/2020,121233728-118566706-119507882
5/17/2020,196020228-181040687-176303234
5/22/2020,31063585-29956343-28245146
5/27/2020,2973553-4977141-2647356
6/1/2020,5731729-6285938-4842995
6/6/2020,42587029-41742016-41622651
6/11/2020,24865780-23661764-22207081
6/16/2020,159535881-151161285-149469072
6/21/2020,13812994-12790772-11203007
6/26/2020,5395627-5842075-4753915
7/1/2020,181647646-166727554-160799450
7/6/2020,17731866-16585186-14581890
7/11/2020,6603402-6495529-5227595
7/16/2020,4317844-4804687-3421335
7/21/2020,5093163-5147682-3363262
7/26/2020,3751839-4348064-2431712
7/31/2020,5159643-5219769-3299481
8/5/2020,4832896-5335121-3610230
8/10/2020,2155370-2295469-1013069
8/15/2020,16891907-16646076-14321105
8/20/2020,3160711-3514711-1628816
8/25/2020,2979040-3701077-1852976
8/30/2020,2791769-3160407-1409239
9/4/2020,5422145-6086108-3407431
9/9/2020,63532536-71173007-78043291
9/14/2020,63159336-69990952-72186092
9/19/2020,138686954-130734419-125064964
9/24/2020,53045918-50817702-49099643
9/29/2020,3385659-3435307-2397186
10/4/2020,2680995-3245587-2380471
10/9/2020,6241867-6114907-4733984
10/14/2020,156958851-146887440-138300520
10/19/2020,40934457-39564199-37469349
10/24/2020,21631589-22452526-21934908
10/29/2020,2767191-3926305-4415392
11/3/2020,86457238-86249505-84963774
11/8/2020,16693208-15709322-15487877
11/13/2020,237654664-234928963-232567529
11/18/2020,66319199-65847077-66660012
11/23/2020,105482528-103199867-102068684
11/28/2020,58562085-56654591-55541792
12/3/2020,140669934-132410493-123547555
12/8/2020,2813284-4259098-5923214
12/13/2020,55235309-54264560-53938684
12/18/2020,18187359-18675719-19225461
12/23/2020,2390099-4162025-4338577
12/28/2020,3028599-4550907-4914220
